datetime,National Hourly Demand
2019-01-01 00:00:00,118690.67
2019-01-01 01:00:00,116029.23
2019-01-01 02:00:00,114044.14
2019-01-01 03:00:00,113648.97
2019-01-01 04:00:00,116290.05
2019-01-01 05:00:00,124434.0
2019-01-01 06:00:00,136638.94
2019-01-01 07:00:00,147992.72
2019-01-01 08:00:00,153580.44
2019-01-01 09:00:00,156556.18
2019-01-01 10:00:00,157135.53
2019-01-01 11:00:00,155383.98
2019-01-01 12:00:00,151982.46
2019-01-01 13:00:00,147432.34
2019-01-01 14:00:00,144736.76
2019-01-01 15:00:00,142616.95
2019-01-01 16:00:00,143051.57
2019-01-01 17:00:00,145782.92
2019-01-01 18:00:00,149412.95
2019-01-01 19:00:00,145275.21
2019-01-01 20:00:00,137227.15
2019-01-01 21:00:00,130372.91
2019-01-01 22:00:00,124227.03
2019-01-01 23:00:00,119535.85
2019-01-02 00:00:00,116461.83
2019-01-02 01:00:00,113978.8
2019-01-02 02:00:00,112632.51
2019-01-02 03:00:00,112561.19
2019-01-02 04:00:00,115098.64
2019-01-02 05:00:00,122892.35
2019-01-02 06:00:00,136784.64
2019-01-02 07:00:00,150433.71
2019-01-02 08:00:00,155312.1
2019-01-02 09:00:00,155567.52
2019-01-02 10:00:00,155070.86
2019-01-02 11:00:00,154175.61
2019-01-02 12:00:00,152496.17
2019-01-02 13:00:00,145958.97
2019-01-02 14:00:00,144247.67
2019-01-02 15:00:00,144980.84
2019-01-02 16:00:00,146181.29
2019-01-02 17:00:00,149810.65
2019-01-02 18:00:00,154343.21
2019-01-02 19:00:00,151144.37
2019-01-02 20:00:00,142780.04
2019-01-02 21:00:00,136672.66
2019-01-02 22:00:00,130526.88
2019-01-02 23:00:00,124644.11
2019-01-03 00:00:00,119599.66
2019-01-03 01:00:00,116753.0
2019-01-03 02:00:00,115518.2
2019-01-03 03:00:00,115710.99
2019-01-03 04:00:00,118123.91
2019-01-03 05:00:00,126128.58
2019-01-03 06:00:00,139232.13
2019-01-03 07:00:00,151025.85
2019-01-03 08:00:00,155769.61
2019-01-03 09:00:00,157617.81
2019-01-03 10:00:00,156168.93
2019-01-03 11:00:00,154245.87
2019-01-03 12:00:00,151056.37
2019-01-03 13:00:00,147083.32
2019-01-03 14:00:00,146362.43
2019-01-03 15:00:00,146865.85
2019-01-03 16:00:00,148088.83
2019-01-03 17:00:00,151407.71
2019-01-03 18:00:00,155644.76
2019-01-03 19:00:00,151782.59
2019-01-03 20:00:00,143027.77
2019-01-03 21:00:00,136425.56
2019-01-03 22:00:00,129846.74
2019-01-03 23:00:00,124654.1
2019-01-04 00:00:00,120713.06
2019-01-04 01:00:00,118268.12
2019-01-04 02:00:00,116660.42
2019-01-04 03:00:00,116049.37
2019-01-04 04:00:00,118441.36
2019-01-04 05:00:00,127416.95
2019-01-04 06:00:00,140274.27
2019-01-04 07:00:00,152807.69
2019-01-04 08:00:00,157099.21
2019-01-04 09:00:00,159140.91
2019-01-04 10:00:00,158357.94
2019-01-04 11:00:00,156636.0
2019-01-04 12:00:00,153533.33
2019-01-04 13:00:00,148428.35
2019-01-04 14:00:00,146645.32
2019-01-04 15:00:00,145686.94
2019-01-04 16:00:00,147067.62
2019-01-04 17:00:00,151317.14
2019-01-04 18:00:00,155863.21
2019-01-04 19:00:00,152265.6
2019-01-04 20:00:00,143096.36
2019-01-04 21:00:00,136861.69
2019-01-04 22:00:00,131016.48
2019-01-04 23:00:00,125644.05
